primeira_compra;ultima_compra;qtd_compras;gmv_total_real;tickets_total;origem_primeira;destino_primeira;freq_media_dias;span_dias;freq_media_dias_aproximada;ticket_medio;seg_recorrencia;seg_velocidade;seg_combinada;status_ativo;cliente_id;momentum;tendencia;volatilidade;momentum_categoria;tendencia_categoria;indice_gini;mes_preferido;concentracao_mes;padrao_sazonal;destinos_recorrentes;total_viagens_recorrentes;media_viagens_por_destino;max_viagens_destino;padrao_recorrencia
12/03/2022;02/06/2022;3;695,52;4;SAO PAULO;VITORIA;41;82;41.0;173,88;Sazonal;Medio;Sazonal_Medio;Ativo;918;44.0;-44.000.000.000.000.000;22.0;Acelerando;Melhorando;0.75;3;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
18/11/2022;13/12/2023;3;351,51;3;SAO GONCALO;OUTROS MUNICIPIOS;195;390;195.0;117,17;Sazonal;Lento;Sazonal_Lento;Ativo;933;140.0;-140.0;70.0;Acelerando;Melhorando;0.75;8;0.3333333333333333;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
06/01/2023;28/04/2023;3;648;3;SAO PAULO;OUTROS MUNICIPIOS;56;112;56.0;216;Sazonal;Medio;Sazonal_Medio;Ativo;936;-92.0;9.199.999.999.999.990;46.0;Desacelerando;Piorando;0.8611111111111112;1;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
28/07/2016;02/07/2017;3;288,36;3;PORTO ALEGRE;CAMPO GRANDE;169,5;339;169.5;96,12;Sazonal;Medio;Sazonal_Medio;Inativo;963;-337.0;33.699.999.999.999.900;168.5;Desacelerando;Piorando;0.9166666666666667;7;1.0;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
04/12/2017;26/04/2021;4;552,48;6;MANAUS;BELO HORIZONTE;413;1239;413.0;92,08;Sazonal;Lento;Sazonal_Lento;Inativo;995;11.0;19.000.000.000.000.000;18.178.192.062.652.000;EstÃ¡vel;Piorando;0.6666666666666667;4;0.25;Altamente Sazonal;True;2;13.333.333.333.333.300;2;Pouco Recorrente
20/12/2022;13/01/2023;4;819,4;4;VITORIA DA CONQUISTA;SETE LAGOAS;8;24;8.0;204,85;Sazonal;Rapido;Sazonal_Rapido;Ativo;1015;24.0;2,77E-01;11.313.708.498.984.700;EstÃ¡vel;EstÃ¡vel;0.8333333333333335;1;0.5;Altamente Sazonal;True;2;13.333.333.333.333.300;2;Pouco Recorrente
24/02/2023;28/05/2023;3;65,25;3;OUTROS MUNICIPIOS;OUTROS MUNICIPIOS;46,5;93;46.5;21,75;Sazonal;Medio;Sazonal_Medio;Ativo;1032;-39.0;38.999.999.999.999.900;19.5;Desacelerando;Piorando;0.75;2;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
14/09/2023;14/03/2024;3;851,01;3;SALVADOR;SAO PAULO;91;182;91.0;283,67;Sazonal;Medio;Sazonal_Medio;Ativo;1045;-174.0;17.399.999.999.999.900;87.0;Desacelerando;Piorando;0.8611111111111112;9;0.6666666666666666;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
12/07/2017;31/03/2018;3;224,01;3;OUTROS MUNICIPIOS;CUIABA;131;262;131.0;74,67;Sazonal;Medio;Sazonal_Medio;Inativo;1046;-152.0;15.199.999.999.999.900;76.0;Desacelerando;Piorando;0.75;3;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
15/09/2022;25/09/2023;3;406,26;3;TERESINA;OUTROS MUNICIPIOS;187,5;375;187.5;135,42;Sazonal;Lento;Sazonal_Lento;Ativo;1095;-369.0;3.689.999.999.999.990;184.5;Desacelerando;Piorando;0.9166666666666667;9;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
10/08/2021;28/10/2021;3;468,12;3;SAO LUIS;FORTALEZA;39,5;79;39.5;156,04;Sazonal;Rapido;Sazonal_Rapido;Inativo;1097;-71.0;7.099.999.999.999.990;35.5;Desacelerando;Piorando;0.8611111111111112;8;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
27/09/2022;02/03/2024;4;1057,84;4;CAXIAS DO SUL;FEIRA DE SANTANA;174;522;174.0;264,46;Sazonal;Medio;Sazonal_Medio;Ativo;1168;-5.0;-25.599.999.999.999.900;24.254.621.552.740.500;EstÃ¡vel;Melhorando;0.7916666666666667;2;0.5;Altamente Sazonal;True;3;2.0;3;Moderadamente Recorrente
25/02/2017;26/05/2017;5;107,2;5;SAO PAULO;CAMPOS DOS GOYTACAZES;22,5;90;22.5;21,44;Sazonal;Rapido;Sazonal_Rapido;Inativo;1220;-65.0;15.600.000.000.000.000;25.985.572.920.372.500;Desacelerando;Piorando;0.8166666666666667;3;0.6;Altamente Sazonal;True;4;2.5;4;Moderadamente Recorrente
12/03/2021;06/09/2021;3;112,48;4;SAO PAULO;JEQUIE;89;178;89.0;28,12;Sazonal;Medio;Sazonal_Medio;Inativo;1252;-178.0;17.799.999.999.999.900;89.0;Desacelerando;Piorando;0.8611111111111112;3;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
17/07/2020;07/04/2022;6;332,46;6;SAO PAULO;UBATUBA;125,8;629;125.8;55,41;Recorrente;Medio;Recorrente_Medio;Ativo;1272;-279.0;97.8;16.306.980.100.558.100;Desacelerando;Piorando;0.7222222222222223;7;0.3333333333333333;Altamente Sazonal;True;6;6.0;6;Altamente Recorrente
11/07/2021;22/06/2022;5;991,75;5;OUTROS MUNICIPIOS;OUTROS MUNICIPIOS;86,5;346;86.5;198,35;Sazonal;Medio;Sazonal_Medio;Ativo;1309;-65.0;-2.200.000.000.000.000;6.603.218.912.015.560;Desacelerando;Melhorando;0.7166666666666668;4;0.4;Altamente Sazonal;True;5;5.0;5;Altamente Recorrente
14/08/2021;21/01/2023;3;304,68;6;SAO GONCALO;ILHABELA;262,5;525;262.5;50,78;Sazonal;Lento;Sazonal_Lento;Ativo;1349;-457.0;4.569.999.999.999.990;228.5;Desacelerando;Piorando;0.75;1;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
17/06/2022;22/08/2022;4;620,88;6;OUTROS MUNICIPIOS;SALVADOR;22;66;22.0;103,48;Sazonal;Rapido;Sazonal_Rapido;Ativo;1446;13.0;-26.5;2.255.363.976.538.300;EstÃ¡vel;Melhorando;0.875;8;0.75;Altamente Sazonal;True;3;2.0;3;Moderadamente Recorrente
06/09/2017;12/11/2022;5;150,2;5;CAMPO GRANDE;JUNDIAI;473,25;1893;473.25;30,04;Sazonal;Lento;Sazonal_Lento;Ativo;1465;-74.0;-23.730.000.000.000.000;30.446.705.486.801.000;Desacelerando;Melhorando;0.7166666666666668;11;0.4;Altamente Sazonal;True;2;16.666.666.666.666.600;2;Pouco Recorrente
06/08/2022;03/07/2023;3;282,25;5;RIO DE JANEIRO;GOIANIA;165,5;331;165.5;56,45;Sazonal;Medio;Sazonal_Medio;Ativo;1482;-305.0;3.049.999.999.999.990;152.5;Desacelerando;Piorando;0.8611111111111112;8;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
26/12/2019;02/03/2021;3;623,16;3;OUTROS MUNICIPIOS;OUTROS MUNICIPIOS;216;432;216.0;207,72;Sazonal;Lento;Sazonal_Lento;Inativo;1498;-432.0;4.319.999.999.999.990;216.0;Desacelerando;Piorando;0.8611111111111112;12;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
04/09/2020;23/08/2023;6;356,23;7;CABO FRIO;SAO PAULO;216,6;1083;216.6;50,89;Recorrente;Lento;Recorrente_Lento;Ativo;1502;383.0;-43.800.000.000.000.000;2.252.967.820.453.720;Acelerando;Melhorando;0.8333333333333335;8;0.6666666666666666;Altamente Sazonal;True;4;2.0;4;Moderadamente Recorrente
13/10/2023;21/10/2023;3;725,25;3;NATAL;SAO PAULO;4;8;4.0;241,75;Sazonal;Rapido;Sazonal_Rapido;Ativo;1615;0.0;-3,14E-02;0.0;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;10;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
30/08/2018;15/05/2022;5;602,3;5;OUTROS MUNICIPIOS;CAMPINAS;338,5;1354;338.5;120,46;Sazonal;Lento;Sazonal_Lento;Ativo;1618;974.0;10.840.000.000.000.000;44.215.297.126.673.200;Acelerando;Piorando;0.8166666666666667;1;0.6;Altamente Sazonal;True;2;16.666.666.666.666.600;2;Pouco Recorrente
17/10/2021;20/09/2022;3;510,52;4;RIO DE JANEIRO;POCOS DE CALDAS;169;338;169.0;127,63;Sazonal;Medio;Sazonal_Medio;Ativo;1663;256.0;-25.599.999.999.999.900;128.0;Acelerando;Melhorando;0.75;8;0.3333333333333333;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
11/02/2019;19/02/2019;3;173,43;3;CAMPINAS;RECIFE;4;8;4.0;57,81;Sazonal;Rapido;Sazonal_Rapido;Inativo;1699;-6.0;5.999.999.999.999.990;3.0;EstÃ¡vel;Piorando;0.9166666666666667;2;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
11/01/2019;14/01/2019;3;631,05;3;OUTROS MUNICIPIOS;FRANCA;1,5;3;1.5;210,35;Sazonal;Rapido;Sazonal_Rapido;Inativo;1706;3.0;-3.0;1.5;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;1;1.0;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
22/09/2019;19/05/2022;3;201,24;4;TERESOPOLIS;POCOS DE CALDAS;485;970;485.0;50,31;Sazonal;Lento;Sazonal_Lento;Ativo;1828;452.0;-45.200.000.000.000.000;226.0;Acelerando;Melhorando;0.8611111111111112;9;0.6666666666666666;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
15/01/2020;24/01/2020;4;172,76;4;CURITIBA;CARAGUATATUBA;3;9;3.0;43,19;Sazonal;Rapido;Sazonal_Rapido;Inativo;1849;-6.0;15.000.000.000.000.000;2.449.489.742.783.170;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;1;1.0;Altamente Sazonal;True;2;13.333.333.333.333.300;2;Pouco Recorrente
14/12/2023;21/02/2024;4;630,8;4;RIO DE JANEIRO;SAO PAULO;23;69;23.0;157,7;Sazonal;Rapido;Sazonal_Rapido;Ativo;1941;-49.0;14.500.000.000.000.000;2.011.632.835.948.610;Desacelerando;Piorando;0.7916666666666667;1;0.5;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
25/08/2019;03/11/2019;3;112,11;3;OUTROS MUNICIPIOS;SALVADOR;35;70;35.0;37,37;Sazonal;Rapido;Sazonal_Rapido;Inativo;1944;66.0;-66.0;33.0;Acelerando;Melhorando;0.8611111111111112;11;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
02/02/2023;17/02/2023;3;808,38;3;RIBEIRAO PRETO;PETROPOLIS;7,5;15;7.5;269,46;Sazonal;Rapido;Sazonal_Rapido;Ativo;2007;-3.0;2.999.999.999.999.990;1.5;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;2;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
09/05/2016;28/01/2024;9;916,8;16;BELO HORIZONTE;JOAO PESSOA;352,5;2820;352.5;57,3;Recorrente;Lento;Recorrente_Lento;Ativo;2022;1939.0;7.757.142.857.142.850;6.195.918.011.077.930;Acelerando;Piorando;0.5092592592592593;1;0.2222222222222222;Moderadamente Sazonal;True;4;3.0;4;Moderadamente Recorrente
27/11/2022;20/01/2023;4;325,28;4;JUNDIAI;CAMPO GRANDE;18;54;18.0;81,32;Sazonal;Rapido;Sazonal_Rapido;Ativo;2122;-25.0;4.000.000.000.000.000;10.424.330.514.074.500;EstÃ¡vel;EstÃ¡vel;0.7916666666666667;12;0.5;Altamente Sazonal;True;3;2.0;3;Moderadamente Recorrente
20/12/2020;21/06/2023;3;294,24;8;UBERLANDIA;PORTO ALEGRE;456,5;913;456.5;36,78;Sazonal;Lento;Sazonal_Lento;Ativo;2175;-789.0;7.889.999.999.999.990;394.5;Desacelerando;Piorando;0.75;2;0.3333333333333333;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
26/05/2020;04/12/2020;5;1272,25;5;NATAL;SAO PAULO;48;192;48.0;254,45;Sazonal;Medio;Sazonal_Medio;Inativo;2199;-42.0;27.400.000.000.000.000;34.835.326.896.700.700;Desacelerando;Piorando;0.7166666666666668;6;0.4;Altamente Sazonal;True;2;16.666.666.666.666.600;2;Pouco Recorrente
24/12/2020;03/01/2021;3;414,82;7;OUTROS MUNICIPIOS;NATAL;5;10;5.0;59,26;Sazonal;Rapido;Sazonal_Rapido;Inativo;2228;2.0;-20.000.000.000.000.000;1.0;EstÃ¡vel;EstÃ¡vel;0.8611111111111112;12;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
31/01/2016;10/02/2021;5;811;5;BELO HORIZONTE;SAO PAULO;459,25;1837;459.25;162,2;Sazonal;Lento;Sazonal_Lento;Inativo;2241;-1806.0;5.379.000.000.000.000;7.792.882.570.012.200;Desacelerando;Piorando;0.8833333333333333;2;0.8;Altamente Sazonal;True;2;1.25;2;Pouco Recorrente
03/12/2023;12/12/2023;3;1789,98;3;CURITIBA;OUTROS MUNICIPIOS;4,5;9;4.5;596,66;Sazonal;Rapido;Sazonal_Rapido;Ativo;2259;-1.0;0.9999999999999991;0.5;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;12;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
08/08/2019;03/11/2019;4;313,76;4;BELO HORIZONTE;SALVADOR;29;87;29.0;78,44;Sazonal;Rapido;Sazonal_Rapido;Inativo;2275;1.0;21.500.000.000.000.000;2.051.016.008.388.680;EstÃ¡vel;Piorando;0.7916666666666667;8;0.5;Altamente Sazonal;True;2;2.0;2;Pouco Recorrente
11/02/2022;25/02/2024;6;482,88;6;SALVADOR;OUTROS MUNICIPIOS;148,8;744;148.8;80,48;Recorrente;Medio;Recorrente_Medio;Ativo;2358;-188.0;67.6;13.051.344.758.299.800;Desacelerando;Piorando;0.8055555555555556;2;0.5;Altamente Sazonal;True;5;3.0;5;Altamente Recorrente
06/12/2021;27/01/2023;3;1192,26;6;GOIANIA;OUTROS MUNICIPIOS;208,5;417;208.5;198,71;Sazonal;Lento;Sazonal_Lento;Ativo;2373;-363.0;3.629.999.999.999.990;181.5;Desacelerando;Piorando;0.8611111111111112;1;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
10/01/2021;09/10/2021;3;1309,1;5;FORTALEZA;OUTROS MUNICIPIOS;136;272;136.0;261,82;Sazonal;Medio;Sazonal_Medio;Inativo;2390;6.0;-6.000.000.000.000.010;3.0;EstÃ¡vel;Melhorando;0.75;1;0.3333333333333333;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
09/06/2019;28/11/2021;3;847,24;4;MACEIO;FLORIANOPOLIS;451,5;903;451.5;211,81;Sazonal;Lento;Sazonal_Lento;Inativo;2391;-847.0;8.469.999.999.999.990;423.5;Desacelerando;Piorando;0.75;6;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
20/10/2021;12/02/2023;3;1157,4;4;OUTROS MUNICIPIOS;LAVRAS;240;480;240.0;289,35;Sazonal;Lento;Sazonal_Lento;Ativo;2400;130.0;-13.000.000.000.000.000;65.0;Acelerando;Melhorando;0.75;2;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
10/07/2023;26/09/2023;3;260,07;3;RECIFE;OUTROS MUNICIPIOS;39;78;39.0;86,69;Sazonal;Rapido;Sazonal_Rapido;Ativo;2464;-64.0;6.399.999.999.999.990;32.0;Desacelerando;Piorando;0.8611111111111112;7;0.6666666666666666;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
01/01/2020;29/01/2023;6;352,45;7;BRASILIA;OUTROS MUNICIPIOS;224,8;1124;224.8;50,35;Recorrente;Lento;Recorrente_Lento;Ativo;2484;386.0;20.800.000.000.000.000;17.258.203.846.287.100;Acelerando;Piorando;0.75;1;0.5;Altamente Sazonal;True;6;6.0;6;Altamente Recorrente
26/10/2023;02/12/2023;3;132,21;3;OUTROS MUNICIPIOS;SAO PAULO;18,5;37;18.5;44,07;Sazonal;Rapido;Sazonal_Rapido;Ativo;2533;-31.0;3.099.999.999.999.990;15.5;Desacelerando;Piorando;0.8611111111111112;10;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
09/01/2020;25/12/2021;3;639,24;4;FLORIANOPOLIS;MARINGA;358;716;358.0;159,81;Sazonal;Lento;Sazonal_Lento;Inativo;2539;-46.0;4.599.999.999.999.990;23.0;Desacelerando;Piorando;0.8611111111111112;12;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
18/12/2021;26/12/2021;3;313,74;3;CAMPINAS;OUTROS MUNICIPIOS;4;8;4.0;104,58;Sazonal;Rapido;Sazonal_Rapido;Inativo;2592;-8.0;7.999.999.999.999.990;4.0;EstÃ¡vel;Piorando;0.9166666666666667;12;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
15/10/2019;19/02/2020;3;599,16;3;BELO HORIZONTE;ARACAJU;63,5;127;63.5;199,72;Sazonal;Medio;Sazonal_Medio;Inativo;2641;121.0;-121.0;60.5;Acelerando;Melhorando;0.8611111111111112;2;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
07/01/2022;21/02/2022;3;177;3;MONTES CLAROS;OUTROS MUNICIPIOS;22,5;45;22.5;59;Sazonal;Rapido;Sazonal_Rapido;Inativo;2661;-9.0;8.999.999.999.999.990;4.5;EstÃ¡vel;Piorando;0.8611111111111112;1;0.6666666666666666;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
25/09/2019;01/04/2024;6;237,18;6;SAO PAULO;CURITIBA;330;1650;330.0;39,53;Recorrente;Lento;Recorrente_Lento;Ativo;2791;2.0;-16.160.000.000.000.000;6.515.041.058.965.010;EstÃ¡vel;Melhorando;0.8055555555555556;3;0.5;Altamente Sazonal;True;2;2.0;2;Pouco Recorrente
20/09/2021;04/07/2023;9;514,26;9;BELO HORIZONTE;OUTROS MUNICIPIOS;81,5;652;81.5;57,14;Recorrente;Medio;Recorrente_Medio;Ativo;2820;-25.0;7.214.285.714.285.710;7.511.158.366.057.790;EstÃ¡vel;Piorando;0.5092592592592593;7;0.2222222222222222;Moderadamente Sazonal;True;8;4.5;8;Altamente Recorrente
28/12/2021;03/01/2022;3;222;5;OUTROS MUNICIPIOS;RIO DE JANEIRO;3;6;3.0;44,4;Sazonal;Rapido;Sazonal_Rapido;Inativo;2860;4.0;-39.999.999.999.999.900;2.0;EstÃ¡vel;EstÃ¡vel;0.8611111111111112;1;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
15/11/2021;17/10/2022;3;198,12;4;PORTO ALEGRE;OUTROS MUNICIPIOS;168;336;168.0;49,53;Sazonal;Medio;Sazonal_Medio;Ativo;2963;318.0;-3.179.999.999.999.990;159.0;Acelerando;Melhorando;0.8611111111111112;10;0.6666666666666666;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
16/09/2020;19/09/2021;3;251,16;3;SAO PAULO;MARILIA;184;368;184.0;83,72;Sazonal;Lento;Sazonal_Lento;Inativo;3019;364.0;-364.0;182.0;Acelerando;Melhorando;0.9166666666666667;9;1.0;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
29/04/2021;06/07/2023;5;897,39;9;CAMPINAS;RECIFE;199,5;798;199.5;99,71;Sazonal;Lento;Sazonal_Lento;Ativo;3040;20.0;-2.232.000.000.000.000;3.243.335.474.476.850;EstÃ¡vel;Melhorando;0.7166666666666668;5;0.4;Altamente Sazonal;True;3;16.666.666.666.666.600;3;Moderadamente Recorrente
05/09/2018;14/11/2019;4;267,52;4;CURITIBA;VITORIA;145;435;145.0;66,88;Sazonal;Medio;Sazonal_Medio;Inativo;3048;-55.0;-6.799.999.999.999.990;8.027.868.127.134.790;Desacelerando;Melhorando;0.6666666666666667;5;0.25;Altamente Sazonal;True;3;2.0;3;Moderadamente Recorrente
21/01/2020;01/02/2022;3;523,72;4;JOAO PESSOA;SALVADOR;371;742;371.0;130,93;Sazonal;Lento;Sazonal_Lento;Inativo;3187;184.0;-184.0;92.0;Acelerando;Melhorando;0.75;1;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
24/10/2021;06/05/2023;3;1040,28;12;BELO HORIZONTE;SAO PAULO;279,5;559;279.5;86,69;Sazonal;Lento;Sazonal_Lento;Ativo;3223;-325.0;32.499.999.999.999.900;162.5;Desacelerando;Piorando;0.75;2;0.3333333333333333;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
16/06/2023;04/09/2023;3;203,61;3;GUARUJA;EUNAPOLIS;40;80;40.0;67,87;Sazonal;Rapido;Sazonal_Rapido;Ativo;3241;-36.0;35.999.999.999.999.900;18.0;Desacelerando;Piorando;0.75;6;0.3333333333333333;Altamente Sazonal;True;2;1.5;2;Pouco Recorrente
11/01/2022;14/01/2022;3;292,56;4;CAMPOS DOS GOYTACAZES;SAO PAULO;1,5;3;1.5;73,14;Sazonal;Rapido;Sazonal_Rapido;Inativo;3276;1.0;-1.0;0.5;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;1;1.0;Altamente Sazonal;False;0;1.0;1;NÃ£o Recorrente
26/11/2021;29/11/2021;3;118,44;3;OUTROS MUNICIPIOS;PORTO ALEGRE;1,5;3;1.5;39,48;Sazonal;Rapido;Sazonal_Rapido;Inativo;3277;-1.0;0.9999999999999998;0.5;EstÃ¡vel;EstÃ¡vel;0.9166666666666667;11;1.0;Altamente Sazonal;True;3;3.0;3;Moderadamente Recorrente
